id,user_id,friend_of
12187,30041,31481
12188,30190,31494
12189,31248,31497
12190,30942,31507
12191,31248,30553
12192,30755,31509
12193,30029,31512
12194,31465,31518
12195,30032,31490
12196,30278,30521
12197,30229,31498
12198,31391,31530
12199,31018,31532
12200,30048,31536
12201,31539,30145
12202,31539,31401
12203,31539,31540
12204,30954,31543
12205,30017,31533
12206,31024,30736
12207,30942,31546
12208,31553,31556
12209,31094,31561
12210,31094,31318
12211,31094,31562
12212,31094,31563
12213,31265,31567
12214,31569,30186
12215,30552,31573
12216,30047,31578
12217,30890,31550
12218,30890,31585
12219,31545,31572
12220,30677,31535
12221,31248,31274
12222,31248,31613
12223,30671,31615
12224,30671,31616
12225,30829,30903
12226,31625,30496
12227,31626,31627
12228,31632,31143
12229,30190,31636
12230,31023,31637
12231,31248,30345
12232,31569,31576
12233,31274,31646
12234,31648,31590
12235,30660,31649
12236,30229,31655
12237,30755,30117
12238,31658,31659
12239,30915,31661
12240,31642,31647
12241,31642,31665
12242,30402,31666
12243,30936,31664
12244,31248,31559
12245,31248,31656
12246,31248,31642
12247,31248,31057
12248,31255,31675
12249,31401,31684
12250,30140,30633
12251,30475,31687
12252,31248,30823
12253,31248,31641
12254,31248,31696
12255,31021,31697
12256,30140,31699
12257,31248,30954
12258,31248,31698
12259,31704,31710
12260,30406,31499
12261,31082,31713
12262,30552,30056
12263,31717,31718
12264,30552,30718
12265,30113,31735
12266,30324,31738
12267,31748,31749
12268,31293,31755
12269,30190,30461
12270,31551,31760
12271,31761,30915
12272,31241,31765
12273,30832,31766
12274,31569,31531
12275,30141,31773
12276,31463,31502
12277,31023,31786
12278,30093,31788
12279,30289,30471
12280,31201,31796
12281,30026,31607
12282,31793,31558
12283,30471,31803
12284,30047,31816
12285,30580,31818
12286,30580,31819
12287,31820,31787
12288,31699,31201
12289,31825,31703
12290,31825,31826
12291,31451,31829
12292,30172,31830
12293,30269,31824
12294,30269,30284
12295,31097,30379
